회차,소방서,start,goal,meeting,u_x,u_y,v_x,v_y,forward_time,backward_time,총비용,총시간(분),경로노드수,정방향경로,역방향경로
5.0,공덕119안전센터,2330782485,4505415647,9379611610,126.9594634,37.5500041,126.9270352,37.5585511,1011.01,1053.0,1053.0,17.55,66.0,2330782485 → 2330782481 → 4595156238 → 2330782529 → 4593828146 → 2330782519 → 3991035410 → 3967124565 → 2451940682 → 3356410218 → 2329648920 → 3431021593 → 3351589224 → 2329648927 → 4591390419 → 2329648843 → 3869600530 → 3869600515 → 3869600518 → 3869600516 → 2329648837 → 3869600505 → 3869600500 → 3869600502 → 9987526930 → 9987526933 → 9987526932 → 9987526934 → 9987494196 → 3868066666 → 3868066674 → 436853677 → 436853683 → 436805774 → 2451940711 → 4591716541 → 4591716537 → 5104926219 → 436805789 → 2690977357 → 4591663748 → 8477550513 → 8477568358 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610,9379611610 → 2775071304 → 2421606544 → 3648703726 → 3648703825 → 4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639267 → 3743689800 → 3034284289 → 9282595663 → 4505415647
5.0,서대문소방서119구조대,3825310652,4505415647,4590181165,126.9347477,37.5716165,126.9270352,37.5585511,1385.38,1405.0,1405.0,23.42,65.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057934 → 3825309611 → 4589998394 → 3825309343 → 3825309224 → 3825309165 → 3825309116 → 3825309131 → 3825309149 → 3825309136 → 3785057868 → 436855674 → 7773276140 → 3825309062 → 3825309058 → 3743712537 → 2473267808 → 2473262339 → 3743710018 → 2473262330 → 3743710017 → 4590174136 → 2473264191 → 3743710000 → 4590181165,4590181165 → 2473261142 → 3309835004 → 7069047608 → 9283051969 → 9283051974 → 9283051975 → 9283051950 → 3309834978 → 3309834974 → 3743639309 → 3648703825 → 4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639267 → 3743689800 → 3034284289 → 9282595663 → 4505415647
,,,,,,,,,,,,,,,
6.0,서대문소방서 북아현119안전센터,7257925078,4505415647,4590190141,126.9563562,37.5602839,126.9270352,37.5585511,663.63,697.0,697.0,11.62,58.0,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 9283051969 → 9283051974 → 9283051975 → 9283051950 → 3309834978 → 3309834974 → 3743639309 → 3648703825 → 4590190141,4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639267 → 3743689800 → 3034284289 → 9282595663 → 4505415647
6.0,마포소방서 119구조대,8477574118,4505415647,3139492445,126.9329263,37.5497833,126.9270352,37.5585511,700.3,752.0,752.0,12.53,23.0,8477574118 → 414685256 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610 → 2775071304 → 2421606544 → 1800585176 → 1830388306 → 3139492445,3139492445 → 4927966759 → 3139492438 → 3139492472 → 3139492465 → 3024393049 → 3034284282 → 3034284289 → 9282595663 → 4505415647
6.0,공덕119안전센터,2330782485,4505415647,9379611610,126.9594634,37.5500041,126.9270352,37.5585511,1011.01,1053.0,1053.0,17.55,66.0,2330782485 → 2330782481 → 4595156238 → 2330782529 → 4593828146 → 2330782519 → 3991035410 → 3967124565 → 2451940682 → 3356410218 → 2329648920 → 3431021593 → 3351589224 → 2329648927 → 4591390419 → 2329648843 → 3869600530 → 3869600515 → 3869600518 → 3869600516 → 2329648837 → 3869600505 → 3869600500 → 3869600502 → 9987526930 → 9987526933 → 9987526932 → 9987526934 → 9987494196 → 3868066666 → 3868066674 → 436853677 → 436853683 → 436805774 → 2451940711 → 4591716541 → 4591716537 → 5104926219 → 436805789 → 2690977357 → 4591663748 → 8477550513 → 8477568358 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610,9379611610 → 2775071304 → 2421606544 → 3648703726 → 3648703825 → 4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639267 → 3743689800 → 3034284289 → 9282595663 → 4505415647
6.0,서대문소방서119구조대,3825310652,4505415647,4590181165,126.9347477,37.5716165,126.9270352,37.5585511,1385.38,1405.0,1405.0,23.42,65.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057934 → 3825309611 → 4589998394 → 3825309343 → 3825309224 → 3825309165 → 3825309116 → 3825309131 → 3825309149 → 3825309136 → 3785057868 → 436855674 → 7773276140 → 3825309062 → 3825309058 → 3743712537 → 2473267808 → 2473262339 → 3743710018 → 2473262330 → 3743710017 → 4590174136 → 2473264191 → 3743710000 → 4590181165,4590181165 → 2473261142 → 3309835004 → 7069047608 → 9283051969 → 9283051974 → 9283051975 → 9283051950 → 3309834978 → 3309834974 → 3743639309 → 3648703825 → 4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639267 → 3743689800 → 3034284289 → 9282595663 → 4505415647
,,,,,,,,,,,,,,,
7.0,서대문소방서 북아현119안전센터,7257925078,9283138057,3310757844,126.9563562,37.5602839,126.9410794,37.5565192,208.98,264.0,264.0,4.4,24.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940919 → 2451940901 → 7967031733 → 4591767518 → 8385791616 → 2961215633 → 3310757863 → 3310757844,3310757844 → 3310757822 → 3310757821 → 4591742670 → 3549631883 → 2329648806 → 2329648807 → 4591746102 → 9283138045 → 9283138047 → 9283138058 → 9283138057
7.0,마포소방서 119구조대,8477574118,9283138057,436853694,126.9329263,37.5497833,126.9410794,37.5565192,892.68,883.0,892.68,14.88,27.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 5293251538 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711 → 436805774 → 9946440068 → 436853677 → 436853683 → 9958232723 → 436853694,436853694 → 436853695 → 3865541988 → 11080341316 → 436718687 → 11689066396 → 11689066406 → 9283138047 → 9283138058 → 9283138057
