trial,station,u,v,meeting_node,u_x,u_y,v_x,v_y,forward_time,backward_time,total_cost,total_risk,total_score,total_time_min,path_length,forward_path,backward_path,duration,duration_bus,duration_ambulance,bus_diff,ambulance_diff,bus_saving_percent,ambulance_saving_percent
21,서대문소방서 북아현119안전센터,7257925078,2329648772,4591827921,126.9563562,37.5602839,126.9543961,37.5573727,50.52,44.3,50.52,3.53,36.42,0.84,19,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921,2329648772 → 3648333425 → 8482703424 → 1936511359 → 8478359173 → 2451940827 → 4591816222 → 4591828305 → 4591832828 → 4591828308 → 3893042382 → 4591827921,262,4.366666666666666,3.0217333333333327,3.5266666666666664,2.181733333333333,80.76335877862596,72.2013855182456
22,마포소방서 119구조대,8477574118,11689066396,4632067413,126.9329263,37.5497833,126.936995,37.5550864,156.12,42.0,156.12,8.57,111.85,2.6,23,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 2330771469 → 4632077004 → 4632072866 → 4639550704 → 4632072867 → 4421755486 → 4632067413,11689066396 → 436718687 → 11080341316 → 9283138093 → 5887231074 → 9283138089 → 4632067413,589,9.816666666666666,6.793133333333333,7.216666666666667,4.193133333333332,73.5144312393888,61.726056704319056
23,서대문소방서 북아현119안전센터,7257925078,9283051952,9283138057,126.9563562,37.5602839,126.9342848,37.5559339,147.05,132.2,147.05,13.99,107.13,2.45,57,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057,9283051952 → 3743639362 → 3743639367 → 3743639361 → 3743639360 → 3743639333 → 3743639334 → 3743639353 → 3743639350 → 3743639349 → 4590204408 → 3743639342 → 4552468316 → 4552468315 → 3743639378 → 4590191568 → 4121393430 → 9283138094 → 9283138095 → 9283138073 → 9283138074 → 11080341315 → 11080341314 → 436718687 → 9283138070 → 9283138055 → 9283138056 → 9283138057,226,3.7666666666666666,2.606533333333333,1.3166666666666664,0.15653333333333297,34.95575221238937,6.005422272238976
24,공덕119안전센터,2330782485,9800448854,8383098864,126.9594634,37.5500041,126.9641034,37.5620474,90.65,0.0,90.65,3.91,64.63,1.51,18,2330782485 → 3352620587 → 8383046649 → 3352633633 → 4593817590 → 2451940779 → 4593791021 → 4656545971 → 2329648967 → 2329648966 → 4656545972 → 8383098864,9800448854 → 5863307810 → 5863307819 → 5863307818 → 5863307816 → 5863307814 → 8383098864,327,5.45,3.7714,3.9400000000000004,2.2614,72.29357798165138,59.9618178925598
25,서대문소방서 북아현119안전센터,7257925078,9283051961,3648333526,126.9563562,37.5602839,126.9352412,37.5557771,89.96,0.0,89.96,8.72,65.59,1.5,37,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526,9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679 → 3648333526,483,8.05,5.5706,6.550000000000001,4.0706,81.36645962732919,73.07291853660288
26,서대문소방서 북아현119안전센터,7257925078,8482703424,4591827921,126.9563562,37.5602839,126.9560074,37.5574766,50.52,44.3,50.52,3.53,36.42,0.84,17,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921,8482703424 → 1936511359 → 8478359173 → 2451940827 → 4591816222 → 4591828305 → 4591832828 → 4591828308 → 3893042382 → 4591827921,162,2.7,1.8683999999999998,1.8600000000000003,1.0284,68.8888888888889,55.04174694926141
27,마포소방서 119구조대,8477574118,9283051946,3648703726,126.9329263,37.5497833,126.9310175,37.5570803,180.61,228.5,228.5,7.92,162.33,3.81,22,8477574118 → 414685256 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610 → 2775071304 → 2421606544 → 3648703726,9283051946 → 3743639292 → 3743639296 → 3743639298 → 4590190142 → 3743639285 → 3743639283 → 3743639280 → 4590190141 → 3648703825 → 3648703726,508,8.466666666666667,5.858933333333334,4.656666666666666,2.0489333333333337,54.99999999999999,34.971098265895954
28,서대문소방서 북아현119안전센터,7257925078,7069047608,9282595679,126.9563562,37.5602839,126.9328206,37.5565685,95.15,0.0,95.15,9.49,69.45,1.59,40,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679,7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679,477,7.95,5.5014,6.36,3.9114000000000004,80.0,71.09826589595376
29,서대문소방서 북아현119안전센터,7257925078,9283051982,9283051988,126.9563562,37.5602839,126.931301,37.5571216,124.91,0.0,124.91,5.47,89.07,2.08,35,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940919 → 2451940901 → 7967031733 → 4591767518 → 8385791616 → 2961215633 → 2329648794 → 2330782622 → 9283051988,9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988,372,6.2,4.2904,4.12,2.2104,66.45161290322581,51.519671825470816
30,서대문소방서 북아현119안전센터,7257925078,9283138078,3648333526,126.9563562,37.5602839,126.9359689,37.5555142,89.96,0.0,89.96,8.72,65.59,1.5,36,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526,9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679 → 3648333526,416,6.933333333333334,4.797866666666666,5.433333333333334,3.297866666666666,78.36538461538461,68.7361049355269
