ID,u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,tunnel,junction,access,width,service,u_x,u_y,v_x,v_y,u_point,v_point,risk
5256,4591904315,4591904319,0,464007781,residential,경기대로9안길,FALSE,FALSE,194.959455,"LINESTRING (126.9603252 37.5649354, 126.9601613 37.5647385, 126.9601514 37.5646846, 126.9614186 37.5642681, 126.9615992 37.56421, 126.9616025 37.5642092, 126.9615592 37.5639936)",,,,,,,,,,126.9603252,37.5649354,126.9615592,37.5639936,POINT (126.9603252 37.5649354),POINT (126.9615592 37.5639936),0.175581247
5257,4591904319,2330771575,0,463992133,residential,경기대로9길,FALSE,FALSE,239.6690705,"LINESTRING (126.9615592 37.5639936, 126.9616571 37.5639906, 126.9617347 37.5639962, 126.9617829 37.5640052, 126.961897 37.5640383, 126.9619829 37.5640785, 126.9620427 37.5641182, 126.9626573 37.5646341, 126.9627148 37.5646681, 126.9627714 37.5646885, 126.9628303 37.5647014, 126.9629598 37.5647126, 126.9630232 37.5647145, 126.963082 37.5647091, 126.9631854 37.5646907, 126.9632644 37.5646687, 126.9637969 37.5644757, 126.9638702 37.5644593)",,,,,,,,,,126.9615592,37.5639936,126.9638702,37.5644593,POINT (126.9615592 37.5639936),POINT (126.9638702 37.5644593),0.354756128
5258,4591904319,4591902830,0,463992133,residential,경기대로9길,FALSE,TRUE,189.5945159,"LINESTRING (126.9615592 37.5639936, 126.9614801 37.5640021, 126.9614011 37.5640206, 126.9600448 37.5644522, 126.9596719 37.5645476, 126.9595433 37.5645138)",,,,,,,,,,126.9615592,37.5639936,126.9595433,37.5645138,POINT (126.9615592 37.5639936),POINT (126.9595433 37.5645138),0.431990094
5259,4591904319,4591904315,0,464007781,residential,경기대로9안길,FALSE,TRUE,194.959455,"LINESTRING (126.9615592 37.5639936, 126.9616025 37.5642092, 126.9615992 37.56421, 126.9614186 37.5642681, 126.9601514 37.5646846, 126.9601613 37.5647385, 126.9603252 37.5649354)",,,,,,,,,,126.9615592,37.5639936,126.9603252,37.5649354,POINT (126.9615592 37.5639936),POINT (126.9603252 37.5649354),0.384324186
5260,4591904323,4591871310,0,464007783,residential,독립문로8길,FALSE,TRUE,40.9468306,"LINESTRING (126.9591669 37.5651085, 126.9591964 37.565476)",,,,,,,,,,126.9591669,37.5651085,126.9591964,37.565476,POINT (126.9591669 37.5651085),POINT (126.9591964 37.565476),0.102573791
5261,4591904323,4591904325,0,464007783,residential,독립문로8길,FALSE,FALSE,38.16573178,"LINESTRING (126.9591669 37.5651085, 126.9592283 37.5650395, 126.9595177 37.5651593)",,,,,,,,,,126.9591669,37.5651085,126.9595177,37.5651593,POINT (126.9591669 37.5651085),POINT (126.9595177 37.5651593),0.447338454
5262,4591904323,4591904334,0,464007786,residential,북아현로22나길,FALSE,TRUE,30.24237142,"LINESTRING (126.9591669 37.5651085, 126.9589338 37.5650354, 126.9588566 37.5649951)",,,,,,,,,,126.9591669,37.5651085,126.9588566,37.5649951,POINT (126.9591669 37.5651085),POINT (126.9588566 37.5649951),0.187629296
5263,4591904325,4591904327,0,464007784,residential,독립문로8길,FALSE,FALSE,17.35378694,"LINESTRING (126.9595177 37.5651593, 126.9595798 37.5650112)",,,,,,,,,,126.9595177,37.5651593,126.9595798,37.5650112,POINT (126.9595177 37.5651593),POINT (126.9595798 37.5650112),0.076491761
5264,4591904325,4591904326,0,464007784,residential,독립문로8길,FALSE,TRUE,38.9475745,"LINESTRING (126.9595177 37.5651593, 126.9593995 37.5654968)",,,,,,,,,,126.9595177,37.5651593,126.9593995,37.5654968,POINT (126.9595177 37.5651593),POINT (126.9593995 37.5654968),0.326160391
5265,4591904325,4591904323,0,464007783,residential,독립문로8길,FALSE,TRUE,38.16573178,"LINESTRING (126.9595177 37.5651593, 126.9592283 37.5650395, 126.9591669 37.5651085)",,,,,,,,,,126.9595177,37.5651593,126.9591669,37.5651085,POINT (126.9595177 37.5651593),POINT (126.9591669 37.5651085),0.929640609
